Zaozërsk,Zaozersk,69.4000,32.4500,Russia,RU,RUS,Murmanskaya Oblast’,,9915,1643823652,2291
Balsfjord,Balsfjord,69.3047,19.2036,Norway,NO,NOR,Troms,,5559,1578210608,2301
Pevek,Pevek,69.7000,170.3167,Russia,RU,RUS,Chukotskiy Avtonomnyy Okrug,,4053,1643597133,2257
Finnsnes,Finnsnes,69.2406,18.0086,Norway,NO,NOR,Troms,minor,3907,1578015471,2308
Godhavn,Godhavn,69.2472,-53.5333,Greenland,GL,GRL,Qaasuitsup,,847,1304388071,2308
Mikhalkino,Mikhalkino,69.4225,161.5300,Russia,RU,RUS,Sakha (Yakutiya),,570,1643001530,2288
Ambarchik,Ambarchik,69.6167,162.2833,Russia,RU,RUS,Sakha (Yakutiya),,4,1643739159,2267
Polyarnyy,Polyarnyy,69.1983,33.4561,Russia,RU,RUS,Murmanskaya Oblast’,,17605,1643432811,2313
Snezhnogorsk,Snezhnogorsk,69.1942,33.2331,Russia,RU,RUS,Murmanskaya Oblast’,,12642,1643272014,2313
Murmansk,Murmansk,68.9667,33.0833,Russia,RU,RUS,Murmanskaya Oblast’,admin,298096,1643755251,2339
Severomorsk,Severomorsk,69.0692,33.4167,Russia,RU,RUS,Murmanskaya Oblast’,,51209,1643295687,2327
Kola,Kola,68.8831,33.0219,Russia,RU,RUS,Murmanskaya Oblast’,,9691,1643826849,2348
Inari,Inari,68.9055,27.0176,Finland,FI,FIN,Lappi,minor,6804,1246162558,2346
Nar’yan-Mar,Nar'yan-Mar,67.6378,53.0067,Russia,RU,RUS,Nenetskiy Avtonomnyy Okrug,admin,24775,1643685127,2487
Aasiaat,Aasiaat,68.7097,-52.8694,Greenland,GL,GRL,Qaasuitsup,admin,3347,1304194714,2367
Vorkuta,Vorkuta,67.5000,64.0333,Russia,RU,RUS,Komi,,56088,1643002916,2502
Apatity,Apatity,67.5675,33.3933,Russia,RU,RUS,Murmanskaya Oblast’,,55713,1643183303,2494
Monchegorsk,Monchegorsk,67.9394,32.9156,Russia,RU,RUS,Murmanskaya Oblast’,,42099,1643634027,2453
Kiruna,Kiruna,67.8494,20.2544,Sweden,SE,SWE,Norrbotten,minor,26703,1752001526,2463
Kirovsk,Kirovsk,67.6142,33.6717,Russia,RU,RUS,Murmanskaya Oblast’,,26581,1643433043,2489
Harstad,Harstad,68.7989,16.5314,Norway,NO,NOR,Troms,minor,21070,1578844884,2357
Olenegorsk,Olenegorsk,68.1500,33.2833,Russia,RU,RUS,Murmanskaya Oblast’,,20847,1643381812,2430
Kovdor,Kovdor,67.5594,30.4667,Russia,RU,RUS,Murmanskaya Oblast’,,16623,1643366927,2495
Narvik,Narvik,68.4383,17.4278,Norway,NO,NOR,Nordland,minor,14148,1578744025,2398
Severnyy,Severnyy,67.6083,64.1233,Russia,RU,RUS,Komi,,11562,1643427677,2490
Sortland,Sortland,68.6962,15.4117,Norway,NO,NOR,Nordland,minor,10566,1578250336,2369
